"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"8CF7580342E114B2C0A80132","1130-4"
"1B48470F44CFC329C0A80134","1130-5"
"AF6E26FA4C450047C0A80134","1130-6"
"FF90535342D56ED6C0A80132","1131-1"
"C7375294460CBD33C0A80134","1131-2"
"1AF258483C4F5037C0A801E1","1132-1"
"8610719042DD038FC0A80132","1133-4"
"E5473BAB45516978C0A80132","1133-6"
"0D524A6F42E5EF1CC0A80133","1134-1"
"6FBC0F43459E6CCBC0A80133","1134-2"
"0EE702EC47A8B91CC0A80134","1134-4"
"B00845FF42DA4145C0A80132","1135-1"
"72B0059442F773E7C0A80132","1135-2"
"9A6849D34A5E2A6FC0A80133","1135-3"
"BF5B0D213FD8B801C0A80133","1136-1"
"52153CD43C158266C0A801E1","1136-3"
"59A73CD43C1590FCC0A801E1","1136-4"
"5B3D3CD43C159638C0A801E1","1136-5"
"C9F0009D3C1DF844C0A801E0","1136-7"
